2022-06-02 13:36:26:INFO:Namespace(alpha=1, attn_dropout=0.2, attn_mask=True, augment_epoch=10, batch_size=512, beta=1.17, embed_dim=1024, embed_dropout=0.25, k_shot=16, layers=1, lr=0.015, num_heads=1, refine_epoch=0, refine_lr=0.005, relu_dropout=0.2, res_dropout=0.2, temperature=0.05, topK=5, train_epoch=20, transformer_alpha=1.0, transformer_beta=1.17)
2022-06-02 13:36:34:INFO:1000 classes, 7 templates
2022-06-02 13:36:38:INFO:Load data finished.
2022-06-02 13:36:39:INFO:Loading saved text features.
2022-06-02 13:36:39:INFO:Loading training image features
2022-06-02 13:36:39:INFO:start saving testing image features
2022-06-02 13:36:39:INFO:Loading fintuned adapter parameters..
2022-06-02 13:36:39:INFO:Loading testing prototypes and testing zeroshot weights...
2022-06-02 13:36:41:INFO:Stage2: Best Testing Top 1 Accuracy: -1.00, at Epoch: -1
2022-06-02 13:36:41:INFO:Begin to search
2022-06-02 13:39:07:INFO:alpha:1.0, beta:2.550
2022-06-02 13:39:09:INFO:alpha:1.0, beta:2.584
2022-06-02 13:39:11:INFO:alpha:1.0, beta:2.619
2022-06-02 13:39:13:INFO:alpha:1.0, beta:2.653
2022-06-02 13:39:15:INFO:alpha:1.0, beta:2.688
2022-06-02 13:39:17:INFO:alpha:1.0, beta:2.722
2022-06-02 13:39:19:INFO:alpha:1.0, beta:2.757
2022-06-02 13:39:21:INFO:alpha:1.0, beta:2.791
2022-06-02 13:39:23:INFO:alpha:1.0, beta:2.826
2022-06-02 13:39:25:INFO:alpha:1.0, beta:2.860
2022-06-02 13:39:27:INFO:alpha:1.0, beta:2.894
2022-06-02 13:39:29:INFO:alpha:1.0, beta:2.929
2022-06-02 13:39:31:INFO:alpha:1.0, beta:2.964
2022-06-02 13:39:33:INFO:alpha:1.0, beta:2.998
2022-06-02 13:39:35:INFO:alpha:1.0, beta:3.033
2022-06-02 13:39:37:INFO:alpha:1.0, beta:3.067
2022-06-02 13:39:39:INFO:alpha:1.0, beta:3.102
2022-06-02 13:39:41:INFO:alpha:1.0, beta:3.136
2022-06-02 13:39:43:INFO:alpha:1.0, beta:3.171
2022-06-02 13:39:45:INFO:alpha:1.0, beta:3.205
2022-06-02 13:39:47:INFO:alpha:1.0, beta:3.240
2022-06-02 13:39:49:INFO:alpha:1.0, beta:3.274
2022-06-02 13:39:51:INFO:alpha:1.0, beta:3.309
2022-06-02 13:39:53:INFO:alpha:1.0, beta:3.343
2022-06-02 13:39:55:INFO:alpha:1.0, beta:3.377
2022-06-02 13:39:57:INFO:alpha:1.0, beta:3.412
2022-06-02 13:39:59:INFO:alpha:1.0, beta:3.447
2022-06-02 13:40:01:INFO:alpha:1.0, beta:3.481
2022-06-02 13:40:03:INFO:alpha:1.0, beta:3.516
2022-06-02 13:40:05:INFO:alpha:1.0, beta:3.550
2022-06-02 13:40:07:INFO:alpha:1.0, beta:3.585
2022-06-02 13:40:09:INFO:alpha:1.0, beta:3.619
2022-06-02 13:40:11:INFO:alpha:1.0, beta:3.654
2022-06-02 13:40:13:INFO:alpha:1.0, beta:3.688
2022-06-02 13:40:15:INFO:alpha:1.0, beta:3.723
2022-06-02 13:40:17:INFO:alpha:1.0, beta:3.757
2022-06-02 13:40:19:INFO:alpha:1.0, beta:3.792
2022-06-02 13:40:21:INFO:alpha:1.0, beta:3.826
2022-06-02 13:40:23:INFO:alpha:1.0, beta:3.861
2022-06-02 13:40:25:INFO:alpha:1.0, beta:3.895
2022-06-02 13:40:27:INFO:alpha:1.0, beta:3.930
2022-06-02 13:40:29:INFO:alpha:1.0, beta:3.964
2022-06-02 13:40:31:INFO:alpha:1.0, beta:3.999
2022-06-02 13:40:33:INFO:alpha:1.0, beta:4.033
2022-06-02 13:40:35:INFO:alpha:1.0, beta:4.067
2022-06-02 13:40:37:INFO:alpha:1.0, beta:4.102
2022-06-02 13:40:39:INFO:alpha:1.0, beta:4.136
2022-06-02 13:40:41:INFO:alpha:1.0, beta:4.171
2022-06-02 13:40:43:INFO:alpha:1.0, beta:4.205
2022-06-02 13:40:44:INFO:alpha:1.0, beta:4.240
2022-06-02 13:40:46:INFO:alpha:1.0, beta:4.274
2022-06-02 13:40:48:INFO:alpha:1.0, beta:4.309
2022-06-02 13:40:50:INFO:alpha:1.0, beta:4.343
